title,rating,ratingPeople,drive,price,habitability,quality,design,fuel
제네시스 GV80 쿠페,8.9,28,9.6,7.6,9.8,9.8,9.8,6.5
제네시스 GV80,8.6,152,9.4,7.6,9.3,9.3,9.7,6.2
제네시스 더 뉴 G70 슈팅브레이크,8.3,371,9.6,7.9,7.8,9.1,9.4,6.2
제네시스 더 뉴 G70,8.3,371,9.6,7.9,7.8,9.1,9.4,6.2
제네시스 G70,8.3,371,9.6,7.9,7.8,9.1,9.4,6.2
제네시스 일렉트리파이드 GV70,8.9,4,9.8,6.2,9.5,9.8,9.8,8.5
제네시스 GV70,8.7,118,9.6,8,9.1,9.3,9.8,6.1
제네시스 G90,9.1,42,9.6,8.4,9.7,9.3,9.2,8.5
제네시스 G90,9.1,42,9.6,8.4,9.7,9.3,9.2,8.5
제네시스 EQ900,8.8,329,9.5,8.5,9.4,9.3,9.4,6.6
제네시스 GV60,,,,,,,,
기아 더 뉴 카니발 4세대,,,,,,,,
기아 카니발 4세대,,,,,,,,
기아 더 뉴 카니발,8.4,1253,8.7,8.3,9,8.5,9,7.1
기아 올 뉴 카니발,8.6,89,9.2,7.7,9.5,8.7,9.6,7.1
기아 카니발 R,8.5,769,8.9,8.8,9,8.6,8.3,7.6
기아 뉴카니발,8.6,89,9.2,7.7,9.5,8.7,9.6,7.1
기아 그랜드 카니발,8.6,89,9.2,7.7,9.5,8.7,9.6,7.1
기아 카니발 II,,,,,,,,
기아 카니발,8.6,89,9.2,7.7,9.5,8.7,9.6,7.1
기아 더 뉴 쏘렌토 4세대,,,,,,,,
기아 쏘렌토 4세대,,,,,,,,
기아 더 뉴 쏘렌토,8.4,158,9.4,7.5,9.2,8.8,9.5,6
기아 올 뉴 쏘렌토,8.4,158,9.4,7.5,9.2,8.8,9.5,6
기아 뉴 쏘렌토 R,8.7,484,8.9,8.8,8.8,8.8,8.7,8.2
기아 쏘렌토 R,8.7,484,8.9,8.8,8.8,8.8,8.7,8.2
기아 뉴쏘렌토,8.4,158,9.4,7.5,9.2,8.8,9.5,6
기아 쏘렌토,8.4,158,9.4,7.5,9.2,8.8,9.5,6
기아 더 뉴 K5 3세대,8.6,2114,9,8.1,8.8,8.4,9.7,7.8
기아 더 뉴 K5 하이브리드 3세대,,,,,,,,
기아 K5 3세대,8.6,2114,9,8.1,8.8,8.4,9.7,7.8
기아 K5 하이브리드 3세대,,,,,,,,
기아 더 뉴 K5 하이브리드 2세대,,,,,,,,
기아 더 뉴 K5 2세대,,,,,,,,
기아 K5 하이브리드 2세대,,,,,,,,
기아 K5 2세대,,,,,,,,
기아 더 뉴 K5,8.6,688,8.7,8.7,8.9,8.5,9.1,7.8
기아 K5 하이브리드,9.2,42,9.7,7.1,9.8,9.6,9.8,9.5
기아 K5,9,70,9.4,7.8,9.4,9.2,9.7,8.6
기아 K7 프리미어,8.7,1100,8.8,8.7,9.2,8.4,9.3,7.8
기아 K7 프리미어 하이브리드,9.3,446,9.4,8.8,9.5,9.1,9.4,9.4
기아 올 뉴 K7 하이브리드,9.3,446,9.4,8.8,9.5,9.1,9.4,9.4
기아 올 뉴 K7,8.7,1100,8.8,8.7,9.2,8.4,9.3,7.8
기아 K7 하이브리드,9.3,446,9.4,8.8,9.5,9.1,9.4,9.4
기아 더 뉴 K7,8.7,1100,8.8,8.7,9.2,8.4,9.3,7.8
기아 더 프레스티지 K7,,,,,,,,
